2023-04-13 07:19:44,170 INFO    MainThread:89010 [wandb_setup.py:_flush():76] Configure stats pid to 89010
2023-04-13 07:19:44,171 INFO    MainThread:89010 [wandb_setup.py:_flush():76] Loading settings from /Users/aleksandrtrisin/.config/wandb/settings
2023-04-13 07:19:44,171 INFO    MainThread:89010 [wandb_setup.py:_flush():76] Loading settings from /Users/aleksandrtrisin/Documents/6 семестр/метопты/Benchmark_Opt/src/lib/wandb/settings
2023-04-13 07:19:44,171 INFO    MainThread:89010 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-13 07:19:44,171 INFO    MainThread:89010 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-13 07:19:44,171 INFO    MainThread:89010 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'src/lib/test.py', 'program': '/Users/aleksandrtrisin/Documents/6 семестр/метопты/Benchmark_Opt/src/lib/test.py'}
2023-04-13 07:19:44,171 INFO    MainThread:89010 [wandb_init.py:_log_setup():507] Logging user logs to /Users/aleksandrtrisin/Documents/6 семестр/метопты/Benchmark_Opt/src/lib/wandb/run-20230413_071944-01mr9f4j/logs/debug.log
2023-04-13 07:19:44,171 INFO    MainThread:89010 [wandb_init.py:_log_setup():508] Logging internal logs to /Users/aleksandrtrisin/Documents/6 семестр/метопты/Benchmark_Opt/src/lib/wandb/run-20230413_071944-01mr9f4j/logs/debug-internal.log
2023-04-13 07:19:44,171 INFO    MainThread:89010 [wandb_init.py:init():547] calling init triggers
2023-04-13 07:19:44,171 INFO    MainThread:89010 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-04-13 07:19:44,171 INFO    MainThread:89010 [wandb_init.py:init():595] starting backend
2023-04-13 07:19:44,171 INFO    MainThread:89010 [wandb_init.py:init():599] setting up manager
2023-04-13 07:19:44,173 INFO    MainThread:89010 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-04-13 07:19:44,176 INFO    MainThread:89010 [wandb_init.py:init():605] backend started and connected
2023-04-13 07:19:44,178 INFO    MainThread:89010 [wandb_init.py:init():695] updated telemetry
2023-04-13 07:19:44,197 INFO    MainThread:89010 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-04-13 07:19:44,670 INFO    MainThread:89010 [wandb_run.py:_on_init():2176] communicating current version
2023-04-13 07:19:44,799 INFO    MainThread:89010 [wandb_run.py:_on_init():2185] got version response 
2023-04-13 07:19:44,800 INFO    MainThread:89010 [wandb_init.py:init():782] starting run threads in backend
2023-04-13 07:19:44,846 INFO    MainThread:89010 [wandb_run.py:_console_start():2157] atexit reg
2023-04-13 07:19:44,846 INFO    MainThread:89010 [wandb_run.py:_redirect():2012] redirect: 3
2023-04-13 07:19:44,846 INFO    MainThread:89010 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-04-13 07:19:44,846 INFO    MainThread:89010 [wandb_run.py:_redirect():2102] Redirects installed.
2023-04-13 07:19:44,846 INFO    MainThread:89010 [wandb_init.py:init():824] run started, returning control to user process
2023-04-13 07:19:52,512 WARNING MsgRouterThr:89010 [router.py:message_loop():77] message_loop has been closed
